player_id,full_name,firstname,lastname,age,team_id,league_id
106725,K. Lewis-Potter,Keane William,Lewis-Potter,23,55,39
138780,N. Williams,Neco Shay,Williams,23,65,39
192349,G. Shelvey,George William,Shelvey,23,65,39
363695,Murillo,Murillo,Santiago Costa dos Santos,22,65,39
1119,K. Ajer,Kristoffer,Vassbakk Köpp Ajer,26,55,39
2731,M. Jørgensen,Mathias,Jattah-Njie Jørgensen,34,55,39
15745,M. Roerslev,Mads,Roerslev Rasmussen,25,55,39
15799,F. Onyeka,Ogochukwu Frank,Onyeka,26,55,39
15908,M. Damsgaard,Mikkel,Krogh Damsgaard,24,55,39
18917,B. Mee,Benjamin Thomas,Mee,35,55,39
19362,J. Dasilva,Pelenda Joshua Tunga,Dasilva,26,55,39
19495,N. Collins,Nathan Michael,Collins,23,55,39
20110,S. Baptiste,Shandon Harkeem,Baptiste,26,55,39
20589,B. Mbeumo,Bryan Tetsadong Marceau,Mbeumo,25,55,39
20649,Y. Wissa,Yoane,Wissa Bileko,28,55,39
25073,V. Janelt,Vitaly,Janelt,26,55,39
47438,M. Jensen,Mathias,Jensen,28,55,39
153422,E. Brierley,Ethan Craig,Brierley,21,55,39
178077,K. Schade,Kevin,Schade,23,55,39
263538,Y. Yarmoliuk,Yehor,Yarmoliuk,20,55,39
281975,V. Adedokun,Valintino,Adedokun,21,55,39
356237,Kim Ji-Soo,Ji-Soo,Kim,20,55,39
408221,B. Fredrick,Benjamin Chiemela,Fredrick,19,55,39
430734,Y. Konak,Yunus Emre,Konak,18,55,39
739,Sergio Reguilón,Sergio,Reguilón Rodríguez,28,"55, 33, 47",39
1135,O. Édouard,Odsonne,Édouard,26,52,39
1835,T. Strakosha,Thomas,Strakosha,29,55,39
3339,C. Doucouré,Cheick Oumar,Doucouré,24,52,39
3428,J. Ayew,Jordan Pierre,Ayew,33,52,39
18806,W. Hughes,William James,Hughes,29,52,39
18853,J. Riedewald,Jaïro Jocquim,Riedewald,28,52,39
19340,E. Balcombe,Ellery Ronald,Balcombe,25,55,39
19346,R. Henry,Rico Antonio,Henry,27,55,39
19789,E. Pinnock,Ethan Rupert,Pinnock,31,55,39
25927,J. Mateta,Jean-Philippe,Mateta,27,52,39
44871,A. Hickey,Aaron,Buchanan Hickey,22,55,39
61742,H. Valdimarsson,Hákon,Rafn Valdimarsson,23,55,39
152418,N. Ahamada,Naouirou Mohamed,Ahamada,22,52,39
284449,J. Rak-Sakyi,Jesurun,Rak-Sakyi,22,52,39
284551,J. Wells-Morrison,Jack Campbell,Wells-Morrison,20,52,39
293162,J. Raymond,Jadan,Raymond,21,52,39
304320,D. Ozoh,David Ikechukwu,Ozoh,19,52,39
311157,Matheus França,Matheus,França de Oliveira,20,52,39
349288,V. Angelini,Vincent,Angelini,21,55,39
104,Carlos Vinícius,Carlos Vinícius,Alves Morais,29,36,39
1440,R. Holding,Robert Samuel,Holding,29,"52, 42",39
1455,A. Iwobi,Alexander Chuka,Iwobi,28,"36, 45",39
2490,J. Lerma,Jefferson Andrés,Lerma Solís,30,52,39
2729,J. Andersen,Joachim Christian,Andersen,28,52,39
13736,D. Muñoz,Daniel,Muñoz Mejía,28,52,39
18843,J. Schlupp,Jeffrey,Schlupp,32,52,39
18844,J. Tomkins,James Oliver Charles,Tomkins,35,52,39
18847,J. Ward,Joel Edward Philip,Ward,35,52,39
18862,N. Clyne,Nathaniel Edwin,Clyne,33,52,39
19088,D. Henderson,Dean Bradley,Henderson,27,"52, 33",39
19143,S. Johnstone,Samuel Luke,Johnstone,31,52,39
19586,E. Eze,Eberechi Oluchi,Eze,26,52,39
19617,M. Olise,Michael Akpovie,Olise,23,52,39
19684,R. Matthews,Remi Luke,Matthews,30,52,39
67971,M. Guéhi,Addji Keaninkin Marc-Israel,Guéhi,24,52,39
126949,C. Richards,Christopher Jeffrey,Richards,24,52,39
127605,N. Ferguson,Nathan Kirk-Patrick,Ferguson,24,52,39
182201,T. Mitchell,Tyrick Kwon,Mitchell,25,52,39
